match_date,Season,win,score,team_name
"Saturday, 26 July",1,0,31,Jaipur Pink Panthers
"Saturday, 26 July",1,0,28,Dabang Delhi
"Sunday, 27 July",1,0,37,Puneri Paltan
"Sunday, 27 July",1,0,25,Bengal Warriors
"Monday, 28 July",1,0,31,Puneri Paltan
"Tuesday, 29 July",1,0,33,Patna Pirates
"Wednesday, 30 July",1,0,30,Bengal Warriors
"Thursday, 31 July",1,0,32,Telugu Titans
"Thursday, 31 July",1,0,40,Dabang Delhi
"Friday, 01 August",1,0,35,Telugu Titans
"Friday, 01 August",1,0,35,Puneri Paltan
"Saturday, 02 August",1,0,18,Patna Pirates
"Saturday, 02 August",1,0,29,Bengal Warriors
"Sunday, 03 August",1,0,35,Dabang Delhi
"Sunday, 03 August",1,0,31,Bengaluru Bulls
"Monday, 04 August",1,0,28,Puneri Paltan
"Monday, 04 August",1,0,31,Dabang Delhi
"Tuesday, 05 August",1,0,34,Bengaluru Bulls
"Tuesday, 05 August",1,0,31,Dabang Delhi
"Wednesday, 06 August",1,0,36,Bengal Warriors
"Thursday, 07 August",1,0,27,Puneri Paltan
"Friday, 08 August",1,0,35,Telugu Titans
"Saturday, 09 August",1,0,29,Telugu Titans
"Sunday, 10 August",1,0,23,Bengal Warriors
"Sunday, 10 August",1,0,35,Patna Pirates
"Tuesday, 12 August",1,0,36,Puneri Paltan
"Wednesday, 13 August",1,0,30,U Mumba
"Wednesday, 13 August",1,0,30,Bengal Warriors
"Thursday, 14 August",1,0,27,Bengaluru Bulls
"Thursday, 14 August",1,0,23,Puneri Paltan
"Friday, 15 August",1,0,27,U Mumba
"Friday, 15 August",1,0,31,Puneri Paltan
"Saturday, 16 August",1,0,33,Bengal Warriors
"Sunday, 17 August",1,0,30,Jaipur Pink Panthers
"Sunday, 17 August",1,0,43,U Mumba
"Monday, 18 August",1,0,28,Patna Pirates
"Monday, 18 August",1,0,24,Puneri Paltan
"Tuesday, 19 August",1,0,26,Dabang Delhi
"Wednesday, 20 August",1,0,31,Bengaluru Bulls
"Thursday, 21 August",1,0,32,Bengal Warriors
"Friday, 22 August",1,0,31,Dabang Delhi
"Saturday, 23 August",1,0,29,Patna Pirates
"Saturday, 23 August",1,0,27,Puneri Paltan
"Sunday, 24 August",1,0,24,Bengal Warriors
"Sunday, 24 August",1,0,30,Dabang Delhi
"Monday, 25 August",1,0,22,Puneri Paltan
"Monday, 25 August",1,0,31,Bengaluru Bulls
"Tuesday, 26 August",1,0,26,Telugu Titans
"Wednesday, 27 August",1,0,35,Puneri Paltan
"Wednesday, 27 August",1,0,29,Jaipur Pink Panthers
"Friday, 29 August",1,0,18,Patna Pirates
"Friday, 29 August",1,0,23,Bengaluru Bulls
"Sunday, 31 August",1,0,22,Bengaluru Bulls
"Sunday, 31 August",1,0,24,U Mumba
"Saturday, 18 July",2,0,28,Jaipur Pink Panthers
"Saturday, 18 July",2,0,25,Bengal Warriors
"Sunday, 19 July",2,0,27,Dabang Delhi
"Sunday, 19 July",2,0,23,Bengaluru Bulls
"Monday, 20 July",2,0,24,Puneri Paltan
"Monday, 20 July",2,0,20,Patna Pirates
"Tuesday, 21 July",2,0,21,Puneri Paltan
"Wednesday, 22 July",2,0,26,Jaipur Pink Panthers
"Wednesday, 22 July",2,0,26,Patna Pirates
"Thursday, 23 July",2,0,30,Bengal Warriors
"Friday, 24 July",2,0,37,Puneri Paltan
"Friday, 24 July",2,0,25,Bengal Warriors
"Saturday, 25 July",2,0,26,Puneri Paltan
"Saturday, 25 July",2,0,21,Bengal Warriors
"Sunday, 26 July",2,0,23,Jaipur Pink Panthers
"Sunday, 26 July",2,0,26,Telugu Titans
"Monday, 27 July",2,0,18,Dabang Delhi
"Monday, 27 July",2,0,22,Jaipur Pink Panthers
"Tuesday, 28 July",2,0,23,Bengaluru Bulls
"Wednesday, 29 July",2,0,29,Bengal Warriors
"Wednesday, 29 July",2,0,27,Jaipur Pink Panthers
"Thursday, 30 July",2,0,22,Patna Pirates
"Friday, 31 July",2,0,21,Telugu Titans
"Friday, 31 July",2,0,22,Dabang Delhi
"Saturday, 01 August",2,0,22,Dabang Delhi
"Saturday, 01 August",2,0,28,Puneri Paltan
"Sunday, 02 August",2,0,29,Puneri Paltan
"Tuesday, 04 August",2,0,25,Dabang Delhi
"Wednesday, 05 August",2,0,28,Bengal Warriors
"Thursday, 06 August",2,0,22,Bengal Warriors
"Thursday, 06 August",2,0,32,Patna Pirates
"Friday, 07 August",2,0,25,U Mumba
"Saturday, 08 August",2,0,17,Dabang Delhi
"Saturday, 08 August",2,0,28,Bengaluru Bulls
"Sunday, 09 August",2,0,17,Bengal Warriors
"Sunday, 09 August",2,0,26,Patna Pirates
"Monday, 10 August",2,0,21,Dabang Delhi
"Tuesday, 11 August",2,0,18,Puneri Paltan
"Wednesday, 12 August",2,0,29,Bengaluru Bulls
"Thursday, 13 August",2,0,28,Puneri Paltan
"Thursday, 13 August",2,0,25,Bengaluru Bulls
"Friday, 14 August",2,0,32,Bengal Warriors
"Friday, 14 August",2,0,21,Dabang Delhi
"Saturday, 15 August",2,0,27,Patna Pirates
"Saturday, 15 August",2,0,29,Telugu Titans
"Sunday, 16 August",2,0,28,Dabang Delhi
"Sunday, 16 August",2,0,38,Jaipur Pink Panthers
"Monday, 17 August",2,0,34,Puneri Paltan
"Tuesday, 18 August",2,0,25,U Mumba
"Tuesday, 18 August",2,0,21,Puneri Paltan
"Wednesday, 19 August",2,0,24,Jaipur Pink Panthers
"Wednesday, 19 August",2,0,30,Puneri Paltan
"Friday, 21 August",2,0,38,Telugu Titans
"Friday, 21 August",2,0,18,Patna Pirates
"Sunday, 23 August",2,0,26,Patna Pirates
"Sunday, 23 August",2,0,30,Bengaluru Bulls
"Saturday, 30 January",3,0,25,Telugu Titans
"Saturday, 30 January",3,0,29,Dabang Delhi
"Sunday, 31 January",3,0,18,U Mumba
"Sunday, 31 January",3,0,26,Puneri Paltan
"Monday, 01 February",3,0,28,Jaipur Pink Panthers
"Monday, 01 February",3,0,34,Dabang Delhi
"Tuesday, 02 February",3,0,17,Telugu Titans
"Wednesday, 03 February",3,0,24,Bengaluru Bulls
"Wednesday, 03 February",3,0,20,Dabang Delhi
"Thursday, 04 February",3,0,24,Bengaluru Bulls
"Friday, 05 February",3,0,17,Dabang Delhi
"Friday, 05 February",3,0,26,Jaipur Pink Panthers
"Saturday, 06 February",3,0,26,U Mumba
"Saturday, 06 February",3,0,26,Bengaluru Bulls
"Sunday, 07 February",3,0,28,Puneri Paltan
"Sunday, 07 February",3,0,34,Dabang Delhi
"Monday, 08 February",3,0,25,Telugu Titans
"Monday, 08 February",3,0,17,Dabang Delhi
"Tuesday, 09 February",3,0,31,Bengal Warriors
"Wednesday, 10 February",3,0,28,Bengaluru Bulls
"Wednesday, 10 February",3,0,20,Jaipur Pink Panthers
"Friday, 12 February",3,0,34,Dabang Delhi
"Saturday, 13 February",3,0,25,Jaipur Pink Panthers
"Saturday, 13 February",3,0,27,Puneri Paltan
"Sunday, 14 February",3,0,21,Bengal Warriors
"Sunday, 14 February",3,0,27,Bengaluru Bulls
"Tuesday, 16 February",3,0,27,Bengal Warriors
"Tuesday, 16 February",3,0,26,Telugu Titans
"Wednesday, 17 February",3,0,32,Bengaluru Bulls
"Thursday, 18 February",3,0,21,Bengaluru Bulls
"Friday, 19 February",3,0,28,Telugu Titans
"Friday, 19 February",3,0,28,Patna Pirates
"Saturday, 20 February",3,0,21,Bengaluru Bulls
"Saturday, 20 February",3,0,22,Dabang Delhi
"Sunday, 21 February",3,0,22,Bengaluru Bulls
"Sunday, 21 February",3,0,18,Jaipur Pink Panthers
"Monday, 22 February",3,0,18,Jaipur Pink Panthers
"Tuesday, 23 February",3,0,17,Bengal Warriors
"Tuesday, 23 February",3,0,24,Jaipur Pink Panthers
"Wednesday, 24 February",3,0,36,Dabang Delhi
"Thursday, 25 February",3,0,18,Bengaluru Bulls
"Thursday, 25 February",3,0,34,Dabang Delhi
"Friday, 26 February",3,0,24,Telugu Titans
"Saturday, 27 February",3,0,27,Bengaluru Bulls
"Saturday, 27 February",3,0,31,Dabang Delhi
"Sunday, 28 February",3,0,21,Jaipur Pink Panthers
"Sunday, 28 February",3,0,41,Patna Pirates
"Monday, 29 February",3,0,27,Puneri Paltan
"Tuesday, 01 March",3,0,22,Bengaluru Bulls
"Tuesday, 01 March",3,0,22,Telugu Titans
"Wednesday, 02 March",3,0,19,Bengal Warriors
"Wednesday, 02 March",3,0,20,Dabang Delhi
"Friday, 04 March",3,0,21,Puneri Paltan
"Friday, 04 March",3,0,29,Bengal Warriors
"Saturday, 05 March",3,0,27,Bengal Warriors
"Saturday, 05 March",3,0,28,U Mumba
"Saturday, 25 June",4,0,24,Telugu Titans
"Saturday, 25 June",4,0,34,Jaipur Pink Panthers
"Sunday, 26 June",4,0,23,Bengal Warriors
"Sunday, 26 June",4,0,19,U Mumba
"Monday, 27 June",4,0,23,Dabang Delhi K.C.
"Monday, 27 June",4,0,24,Puneri Paltan
"Wednesday, 29 June",4,0,24,Telugu Titans
"Wednesday, 29 June",4,0,34,U Mumba
"Friday, 01 July",4,0,25,Dabang Delhi K.C.
"Friday, 01 July",4,0,33,Bengal Warriors
"Saturday, 02 July",4,0,24,Bengaluru Bulls
"Saturday, 02 July",4,0,28,Jaipur Pink Panthers
"Sunday, 03 July",4,0,33,Telugu Titans
"Sunday, 03 July",4,0,18,Bengal Warriors
"Monday, 04 July",4,0,27,Puneri Paltan
"Monday, 04 July",4,0,18,Bengal Warriors
"Tuesday, 05 July",4,0,28,Telugu Titans
"Wednesday, 06 July",4,0,26,Dabang Delhi K.C.
"Wednesday, 06 July",4,0,30,U Mumba
"Thursday, 07 July",4,0,25,Bengaluru Bulls
"Friday, 08 July",4,0,23,Bengaluru Bulls
"Friday, 08 July",4,0,21,Bengal Warriors
"Saturday, 09 July",4,0,31,Bengal Warriors
"Saturday, 09 July",4,0,15,Patna Pirates
"Sunday, 10 July",4,0,23,Dabang Delhi K.C.
"Sunday, 10 July",4,0,21,Patna Pirates
"Tuesday, 12 July",4,0,24,Bengaluru Bulls
"Wednesday, 13 July",4,0,22,Bengaluru Bulls
"Thursday, 14 July",4,0,23,Jaipur Pink Panthers
"Thursday, 14 July",4,0,23,Bengaluru Bulls
"Friday, 15 July",4,0,29,Puneri Paltan
"Friday, 15 July",4,0,20,Bengaluru Bulls
"Saturday, 16 July",4,0,25,Jaipur Pink Panthers
"Saturday, 16 July",4,0,24,U Mumba
"Sunday, 17 July",4,0,27,Puneri Paltan
"Sunday, 17 July",4,0,27,Bengal Warriors
"Tuesday, 19 July",4,0,28,Dabang Delhi K.C.
"Tuesday, 19 July",4,0,25,Bengal Warriors
"Wednesday, 20 July",4,0,31,Puneri Paltan
"Thursday, 21 July",4,0,22,Dabang Delhi K.C.
"Friday, 22 July",4,0,22,Patna Pirates
"Friday, 22 July",4,0,27,U Mumba
"Saturday, 23 July",4,0,28,Puneri Paltan
"Saturday, 23 July",4,0,27,U Mumba
"Sunday, 24 July",4,0,20,Bengal Warriors
"Sunday, 24 July",4,0,23,Jaipur Pink Panthers
"Monday, 25 July",4,0,31,Dabang Delhi K.C.
"Tuesday, 26 July",4,0,25,Patna Pirates
"Tuesday, 26 July",4,0,34,Dabang Delhi K.C.
"Wednesday, 27 July",4,0,33,Bengaluru Bulls
"Wednesday, 27 July",4,0,34,Dabang Delhi K.C.
"Friday, 29 July",4,0,33,Puneri Paltan
"Friday, 29 July",4,0,24,Telugu Titans
"Sunday, 31 July",4,0,35,Telugu Titans
"Sunday, 31 July",4,0,29,Jaipur Pink Panthers
"Friday, 28 July",5,0,21,U Mumba
"Saturday, 29 July",5,0,26,Jaipur Pink Panthers
"Saturday, 29 July",5,0,29,Telugu Titans
"Sunday, 30 July",5,0,28,Haryana Steelers
"Sunday, 30 July",5,0,21,Telugu Titans
"Tuesday, 01 August",5,0,20,Dabang Delhi K.C.
"Tuesday, 01 August",5,0,18,Telugu Titans
"Wednesday, 02 August",5,0,24,Telugu Titans
"Thursday, 03 August",5,0,36,Telugu Titans
"Friday, 04 August",5,0,31,Tamil Thalaivas
"Friday, 04 August",5,0,21,Dabang Delhi K.C.
"Saturday, 05 August",5,0,22,Dabang Delhi K.C.
"Saturday, 05 August",5,0,27,Bengaluru Bulls
"Sunday, 06 August",5,0,20,U.P. Yoddha
"Sunday, 06 August",5,0,32,Bengaluru Bulls
"Tuesday, 08 August",5,0,20,Gujarat Fortunegiants
"Wednesday, 09 August",5,0,25,Bengal Warriors
"Thursday, 10 August",5,0,28,Puneri Paltan
"Thursday, 10 August",5,0,24,Bengaluru Bulls
"Friday, 11 August",5,0,21,U Mumba
"Saturday, 12 August",5,0,32,Telugu Titans
"Saturday, 12 August",5,0,25,Dabang Delhi K.C.
"Sunday, 13 August",5,0,20,Jaipur Pink Panthers
"Tuesday, 15 August",5,0,17,Bengal Warriors
"Tuesday, 15 August",5,0,24,Bengaluru Bulls
"Wednesday, 16 August",5,0,19,Telugu Titans
"Thursday, 17 August",5,0,29,Tamil Thalaivas
"Friday, 18 August",5,0,34,U.P. Yoddha
"Friday, 18 August",5,0,28,Bengaluru Bulls
"Saturday, 19 August",5,0,32,U Mumba
"Saturday, 19 August",5,0,29,U.P. Yoddha
"Sunday, 20 August",5,0,42,Patna Pirates
"Sunday, 20 August",5,0,22,U.P. Yoddha
"Tuesday, 22 August",5,0,21,Puneri Paltan
"Tuesday, 22 August",5,0,31,U.P. Yoddha
"Wednesday, 23 August",5,0,25,Dabang Delhi K.C.
"Thursday, 24 August",5,0,23,Telugu Titans
"Friday, 25 August",5,0,36,U Mumba
"Saturday, 26 August",5,0,24,Tamil Thalaivas
"Saturday, 26 August",5,0,24,U Mumba
"Sunday, 27 August",5,0,26,Bengaluru Bulls
"Sunday, 27 August",5,0,32,U Mumba
"Wednesday, 30 August",5,0,32,Haryana Steelers
"Thursday, 31 August",5,0,28,Tamil Thalaivas
"Thursday, 31 August",5,0,32,Jaipur Pink Panthers
"Friday, 01 September",5,0,38,Patna Pirates
"Saturday, 02 September",5,0,36,Gujarat Fortunegiants
"Sunday, 03 September",5,0,25,Gujarat Fortunegiants
"Sunday, 03 September",5,0,25,Tamil Thalaivas
"Tuesday, 05 September",5,0,21,Jaipur Pink Panthers
"Tuesday, 05 September",5,0,29,Bengal Warriors
"Wednesday, 06 September",5,0,30,Bengaluru Bulls
"Wednesday, 06 September",5,0,31,Bengal Warriors
"Thursday, 07 September",5,0,37,Telugu Titans
"Saturday, 09 September",5,0,41,Patna Pirates
"Saturday, 09 September",5,0,31,Bengaluru Bulls
"Sunday, 10 September",5,0,20,Puneri Paltan
"Sunday, 10 September",5,0,19,Haryana Steelers
"Tuesday, 12 September",5,0,31,Telugu Titans
"Tuesday, 12 September",5,0,24,Dabang Delhi K.C.
"Wednesday, 13 September",5,0,33,U.P. Yoddha
"Wednesday, 13 September",5,0,22,Haryana Steelers
"Friday, 15 September",5,0,30,Telugu Titans
"Friday, 15 September",5,0,28,U Mumba
"Saturday, 16 September",5,0,42,U.P. Yoddha
"Sunday, 17 September",5,0,25,Dabang Delhi K.C.
"Tuesday, 19 September",5,0,25,Haryana Steelers
"Tuesday, 19 September",5,0,32,Bengaluru Bulls
"Wednesday, 20 September",5,0,23,U Mumba
"Wednesday, 20 September",5,0,39,Tamil Thalaivas
"Thursday, 21 September",5,0,26,Jaipur Pink Panthers
"Thursday, 21 September",5,0,41,Patna Pirates
"Friday, 22 September",5,0,28,Dabang Delhi K.C.
"Saturday, 23 September",5,0,29,Bengaluru Bulls
"Saturday, 23 September",5,0,29,Dabang Delhi K.C.
"Sunday, 24 September",5,0,32,Bengal Warriors
"Sunday, 24 September",5,0,24,Dabang Delhi K.C.
"Tuesday, 26 September",5,0,34,Gujarat Fortunegiants
"Tuesday, 26 September",5,0,34,Dabang Delhi K.C.
"Wednesday, 27 September",5,0,34,Jaipur Pink Panthers
"Wednesday, 27 September",5,0,16,Dabang Delhi K.C.
"Thursday, 28 September",5,0,30,Bengaluru Bulls
"Thursday, 28 September",5,0,22,Dabang Delhi K.C.
"Friday, 29 September",5,0,20,Tamil Thalaivas
"Friday, 29 September",5,0,29,Patna Pirates
"Saturday, 30 September",5,0,33,U.P. Yoddha
"Saturday, 30 September",5,0,26,Tamil Thalaivas
"Sunday, 01 October",5,0,31,Jaipur Pink Panthers
"Sunday, 01 October",5,0,30,Tamil Thalaivas
"Tuesday, 03 October",5,0,22,Dabang Delhi K.C.
"Tuesday, 03 October",5,0,37,Tamil Thalaivas
"Wednesday, 04 October",5,0,30,U Mumba
"Wednesday, 04 October",5,0,33,Tamil Thalaivas
"Thursday, 05 October",5,0,35,Tamil Thalaivas
"Friday, 06 October",5,0,23,Jaipur Pink Panthers
"Friday, 06 October",5,0,19,Puneri Paltan
"Saturday, 07 October",5,0,30,Telugu Titans
"Saturday, 07 October",5,0,32,U Mumba
"Sunday, 08 October",5,0,29,Patna Pirates
"Sunday, 08 October",5,0,30,Jaipur Pink Panthers
"Tuesday, 10 October",5,0,35,U Mumba
"Tuesday, 10 October",5,0,34,Jaipur Pink Panthers
"Wednesday, 11 October",5,0,32,Dabang Delhi K.C.
"Wednesday, 11 October",5,0,27,Jaipur Pink Panthers
"Thursday, 12 October",5,0,32,Jaipur Pink Panthers
"Friday, 13 October",5,0,20,Puneri Paltan
"Friday, 13 October",5,0,30,Tamil Thalaivas
"Saturday, 14 October",5,0,37,Patna Pirates
"Saturday, 14 October",5,0,24,U Mumba
"Sunday, 15 October",5,0,32,U.P. Yoddha
"Sunday, 15 October",5,0,31,Dabang Delhi K.C.
"Tuesday, 17 October",5,0,24,U.P. Yoddha
"Tuesday, 17 October",5,0,27,Puneri Paltan
"Wednesday, 18 October",5,0,15,Jaipur Pink Panthers
"Friday, 20 October",5,0,22,Puneri Paltan
"Monday, 23 October",5,0,38,U.P. Yoddha
"Monday, 23 October",5,0,30,Haryana Steelers
"Tuesday, 24 October",5,0,17,Bengal Warriors
"Tuesday, 24 October",5,0,32,Puneri Paltan
"Thursday, 26 October",5,0,44,Bengal Warriors
"Saturday, 28 October",5,0,38,Gujarat Fortunegiants
