player_name,season,matches_played,team,successful-tackles
Manjeet Chhillar,1,108,tamil-thalaivas,324
Ravinder Pahal,1,109,dabang-delhi-kc,301
Fazel Atrachali,1,98,u-mumba,277
Sandeep Narwal,1,120,u-mumba,268
Mohit Chhillar,1,109,tamil-thalaivas,254
PO Surjeet Singh,1,92,puneri-paltan,250
Girish Maruti Ernak,1,104,puneri-paltan,245
Dharmaraj Cheralathan,1,116,haryana-steelers,232
Ran Singh,1,118,tamil-thalaivas,217
Amit Hooda,1,86,jaipur-pink-panthers,211
Surender Nada,1,71,haryana-steelers,206
Jeeva Kumar,1,112,bengal-warriors,205
Vishal Mane,1,125,dabang-delhi-kc,185
Sandeep Kumar Dhull,1,64,jaipur-pink-panthers,183
Nitesh Kumar,1,62,up-yoddha,182
Vishal Bhardwaj,1,59,telugu-titans,177
Parvesh Bhainswal,1,76,gujarat-fortunegiants,175
Sunil Kumar,1,68,gujarat-fortunegiants,167
Jaideep,1,67,patna-pirates,167
Surinder Singh,1,63,u-mumba,160
Joginder Singh Narwal,1,80,dabang-delhi-kc,160
Mahender Singh,1,62,bengaluru-bulls,153
Abozar Mohajermighani,1,63,telugu-titans,147
Ravi Kumar,1,92,haryana-steelers,137
Rohit Rana,1,82,u-mumba,131
Nilesh Shinde,1,69,dabang-delhi-kc,121
Sachin Shingade,1,75,haryana-steelers,109
Rajesh Narwal,1,92,dabang-delhi-kc,105
Kuldeep Singh,1,66,patna-pirates,103
Jasmer Singh Gulia,1,52,bengaluru-bulls,102
Ashish Kumar,1,83,bengaluru-bulls,98
Sunil,1,63,tamil-thalaivas,98
C. Arun,1,87,telugu-titans,92
D. Suresh Kumar,1,59,u-mumba,91
Vikas Kale,1,59,haryana-steelers,90
Bajirao Hodage,1,61,jaipur-pink-panthers,90
Hadi Oshtorak,1,69,patna-pirates,90
Rinku Narwal,1,48,bengal-warriors,87
Sunil,1,39,haryana-steelers,86
Somvir Shekhar,1,61,jaipur-pink-panthers,82
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,79
Baldev Singh,1,38,bengal-warriors,78
Amit Sheoran,1,38,bengaluru-bulls,76
Anil Kumar,1,54,dabang-delhi-kc,76
Farhad Rahimi Milaghardan,1,58,telugu-titans,70
Shrikant Tewthia,1,71,bengal-warriors,70
Rakesh Kumar,1,55,telugu-titans,68
Sagar B Krishna,1,60,puneri-paltan,63
Anup Kumar,1,91,jaipur-pink-panthers,61
Sumit,1,18,up-yoddha,60
Ruturaj Shivaji Koravi,1,38,gujarat-fortunegiants,59
Neeraj Kumar,1,36,patna-pirates,59
Kuldeep Singh,1,36,haryana-steelers,59
Monu,1,52,patna-pirates,57
Vijay,1,59,dabang-delhi-kc,57
Sandeep Kandola,1,16,telugu-titans,55
Amit Singh Chhillar,1,35,telugu-titans,55
Rahul Chaudhari,1,120,tamil-thalaivas,54
Rajaguru Subramanian,1,46,u-mumba,51
Sunil Siddhgavali,1,42,jaipur-pink-panthers,51
Jawahar Dagar,1,46,patna-pirates,50
Prashant Chavan,1,41,dabang-delhi-kc,50
Vinod Kumar,1,27,puneri-paltan,48
Sachin Kumar,1,46,up-yoddha,48
Manoj Kumar,1,52,gujarat-fortunegiants,48
Meraj Sheykh,1,95,dabang-delhi-kc,48
Vishal,1,25,jaipur-pink-panthers,47
Rakesh Singh Kumar,1,49,haryana-steelers,46
Darshan J.,1,29,tamil-thalaivas,45
Kashiling Adake,1,92,bengaluru-bulls,44
Rishank Devadiga,1,117,up-yoddha,44
Saurabh Nandal,1,18,bengaluru-bulls,42
Sachin Khambe,1,22,puneri-paltan,40
D. Gopu,1,34,tamil-thalaivas,40
Santhapanaselvam,1,32,jaipur-pink-panthers,40
Manjeet,1,42,puneri-paltan,40
Nitin Rawal,1,45,jaipur-pink-panthers,39
Vinod Kumar,1,47,gujarat-fortunegiants,38
Pankaj,1,23,gujarat-fortunegiants,38
Narender,1,28,up-yoddha,37
Rohit Kumar,1,89,bengaluru-bulls,37
Kuldeep Singh,1,20,bengaluru-bulls,37
Vikas Jaglan,1,46,patna-pirates,35
Sombir,1,31,dabang-delhi-kc,35
Shyam Kumar Sah,1,27,bengal-warriors,34
Mohsen Maghsoudloujafari,1,46,up-yoddha,32
More GB,1,45,gujarat-fortunegiants,32
Satpal,1,22,dabang-delhi-kc,32
D. Pradap,1,29,tamil-thalaivas,31
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,31
Ziaur Rahman,1,34,bengal-warriors,30
Manish,1,40,patna-pirates,30
Preetam Chhillar,1,58,bengaluru-bulls,30
Ashu Singh,1,18,up-yoddha,30
Sunil Jaipal,1,38,bengaluru-bulls,29
Viraj Vishnu Landge,1,34,bengal-warriors,29
Mahipal Narwal,1,34,gujarat-fortunegiants,28
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,28
Vijin Thangadurai,1,51,bengal-warriors,27
Rohit Baliyan,1,68,u-mumba,27
Mayur Shivtarkar,1,30,bengal-warriors,26
Sachin Tanwar,1,63,gujarat-fortunegiants,26
Amit,1,32,up-yoddha,26
Parmod Narwal,1,35,haryana-steelers,25
Jasvir Singh,1,77,tamil-thalaivas,25
Gurpreet Singh,1,18,puneri-paltan,25
Wasim Sajjad,1,17,telugu-titans,24
Sachin Vittala,1,26,gujarat-fortunegiants,24
Vikash,1,19,haryana-steelers,24
Sidharth,1,21,dabang-delhi-kc,24
Shubham Shinde,1,23,puneri-paltan,24
Parveen,1,25,haryana-steelers,23
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,23
Manoj Dhull,1,27,bengal-warriors,23
Raju Lal Choudhary,1,23,bengaluru-bulls,23
Akshay Jadhav,1,29,puneri-paltan,22
Vineet Sharma,1,41,tamil-thalaivas,22
Hadi Tajik,1,28,puneri-paltan,21
Ajay Thakur,1,115,tamil-thalaivas,21
Mahesh Goud,1,65,bengal-warriors,21
Swapnil Dilip Shinde,1,21,dabang-delhi-kc,21
Navneet Gautam,1,31,jaipur-pink-panthers,20
Jang Kun Lee,1,103,patna-pirates,20
Nitin Tomar,1,66,puneri-paltan,20
Somvir,1,16,telugu-titans,20
Rahul Kumar,1,30,bengal-warriors,20
Amit Kumar,1,17,jaipur-pink-panthers,20
Ponparthiban Subramanian,1,19,tamil-thalaivas,19
Amit Kumar,1,19,puneri-paltan,19
Anil Kumar,1,19,dabang-delhi-kc,19
Monu Goyat,1,69,up-yoddha,19
Kalimuthu Balamahendran,1,23,telugu-titans,19
Nitin More,1,22,bengal-warriors,19
Vijendar Singh,1,8,telugu-titans,19
Wazir Singh,1,47,haryana-steelers,18
Gangadhari Mallesh,1,36,jaipur-pink-panthers,18
Harendra Kumar,1,17,u-mumba,18
Gurvinder Singh,1,45,gujarat-fortunegiants,17
Shrikant Jadhav,1,72,up-yoddha,17
Young Chang Ko,1,37,u-mumba,17
Krushna Madane,1,16,telugu-titans,17
Sandeep,1,14,bengaluru-bulls,16
Shabeer Bappu,1,74,tamil-thalaivas,16
Samarjeet Singh,1,22,jaipur-pink-panthers,16
Sanket Chavan,1,13,tamil-thalaivas,15
S Mahalingam,1,11,telugu-titans,14
Deepak Kumar Rathee,1,20,haryana-steelers,14
Rohit Gulia,1,58,gujarat-fortunegiants,14
Sagar Khatale,1,12,puneri-paltan,14
Ram Kumar Sah,1,11,dabang-delhi-kc,14
Jitesh Joshi,1,19,puneri-paltan,14
Dadaso Balaso Awad,1,12,dabang-delhi-kc,14
Naveen,1,35,haryana-steelers,14
Sumit Malik,1,14,gujarat-fortunegiants,14
Ajeet,1,14,tamil-thalaivas,13
Sukesh Hegde,1,97,bengal-warriors,13
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,13
Deepak Narwal,1,81,jaipur-pink-panthers,12
Surjeet Narwal,1,31,bengal-warriors,12
Nilesh Salunke,1,79,jaipur-pink-panthers,12
Sagar,1,11,tamil-thalaivas,12
Adarsh T,1,19,bengal-warriors,12
M. Abishek,1,7,tamil-thalaivas,11
Ankit,1,12,gujarat-fortunegiants,11
Rupesh Tomar,1,15,dabang-delhi-kc,11
Bhupender Singh,1,47,bengal-warriors,11
Amit Kumar,1,11,telugu-titans,11
Deepak Dhull,1,10,patna-pirates,11
G.S. Manikandan,1,20,dabang-delhi-kc,10
Yogesh Hooda,1,21,dabang-delhi-kc,10
Seong Ryeol Kim,1,15,gujarat-fortunegiants,10
Jeeva Gopal,1,24,haryana-steelers,10
N. Renjith,1,11,u-mumba,10
Tapas Pal,1,7,dabang-delhi-kc,10
Yatharth Deshwal,1,6,dabang-delhi-kc,10
Mohit Sehrawat,1,13,bengaluru-bulls,10
Pavan T. R.,1,15,jaipur-pink-panthers,10
Vikash Kandola,1,51,haryana-steelers,9
Vinod Kumar,1,29,bengaluru-bulls,9
Ravinder Kumar,1,12,patna-pirates,9
Rajesh Mondal,1,89,puneri-paltan,9
Surender Singh,1,48,up-yoddha,9
Vijender Singh,1,8,bengaluru-bulls,9
Santhosh B.S,1,9,up-yoddha,8
CPO Surjeet Singh,1,48,tamil-thalaivas,8
Maninder Singh,1,79,bengal-warriors,8
Chandran Ranjit,1,61,dabang-delhi-kc,8
Saeid Ghaffari,1,9,dabang-delhi-kc,8
Darshan Kadian,1,39,puneri-paltan,8
Anil Kumar,1,6,tamil-thalaivas,8
Vijay Kumar,1,21,bengaluru-bulls,8
Ankit,1,13,bengaluru-bulls,8
Sanket Sawant,1,5,puneri-paltan,7
Abhishek Singh,1,32,u-mumba,7
Surender Gill,1,15,up-yoddha,7
Deepak Yadav,1,7,puneri-paltan,7
Abolfazl Maghsodloumahali,1,47,gujarat-fortunegiants,7
Umesh Mhatre,1,13,puneri-paltan,7
Ravindra Ramesh Kumawat,1,19,bengal-warriors,7
Sumit Singh,1,32,bengaluru-bulls,7
Tae Deok Eom,1,35,patna-pirates,7
Harvinder Singh,1,4,puneri-paltan,7
Deepak Kumar,1,7,bengal-warriors,7
Deepak Kumar Dahiya,1,53,puneri-paltan,7
Prashanth Kumar Rai,1,94,haryana-steelers,6
K. Prapanjan,1,81,bengal-warriors,6
Pardeep Narwal,1,104,patna-pirates,6
Ravi Dalal,1,38,dabang-delhi-kc,6
Amit Nagar,1,12,bengal-warriors,6
Selvamani K,1,56,haryana-steelers,6
Rakesh Gowda,1,9,telugu-titans,6
Siddharth Sirish Desai,1,39,telugu-titans,6
Ajay,1,16,bengaluru-bulls,6
Naveen Kumar,1,42,dabang-delhi-kc,6
Lalit Chaudhary,1,7,gujarat-fortunegiants,5
Chand Singh,1,9,haryana-steelers,5
Vikash,1,4,bengal-warriors,5
Gurvinder Singh,1,5,up-yoddha,5
Jagdeesha K.K.,1,7,jaipur-pink-panthers,5
Manpreet Singh,1,13,patna-pirates,5
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,5
Nitin Madane,1,37,u-mumba,5
Varinder Singh,1,8,patna-pirates,5
T. Prasad,1,9,telugu-titans,5
Parveen M. Jangra,1,6,bengal-warriors,5
Suresu Kumar,1,21,dabang-delhi-kc,4
Vikas Tomar,1,9,puneri-paltan,4
Rajeev Kumar,1,3,dabang-delhi-kc,4
Amit Om Prakash Rathi,1,16,gujarat-fortunegiants,4
Isac Antony,1,9,telugu-titans,4
Tushar Patil,1,53,patna-pirates,4
Ashish Chhokar,1,12,bengal-warriors,4
Vikas Kumar,1,14,telugu-titans,4
Parvesh,1,6,puneri-paltan,4
Sandeep,1,6,puneri-paltan,4
C Manoj Kumar,1,12,telugu-titans,4
Sudhanshu Tyagi,1,13,haryana-steelers,4
Anuj Kumar,1,7,telugu-titans,4
Vinay,1,19,haryana-steelers,4
Ajinkya Ashok Pawar,1,31,jaipur-pink-panthers,3
Banty,1,11,bengaluru-bulls,3
Sonu Jaglan,1,15,gujarat-fortunegiants,3
Kamal Singh,1,11,telugu-titans,3
Pankaj Mohite,1,16,puneri-paltan,3
Elavarasan A,1,3,jaipur-pink-panthers,3
E Subash,1,4,u-mumba,3
Satish,1,10,patna-pirates,3
Muruthu M,1,3,tamil-thalaivas,3
Amit Kharb,1,11,gujarat-fortunegiants,3
Rohit Kumar Choudary,1,38,up-yoddha,3
Gurchet Singh,1,4,bengaluru-bulls,3
Pawan Kumar Kadian,1,74,puneri-paltan,2
Anoop E.V.,1,3,u-mumba,2
Aman Kumar,1,4,patna-pirates,2
Rakesh Narwal,1,26,bengal-warriors,2
Parveen Kumar,1,8,bengal-warriors,2
Pravin Niwale,1,17,dabang-delhi-kc,2
Punit Kumar Teotia,1,4,dabang-delhi-kc,2
Gokul Shitole,1,4,jaipur-pink-panthers,2
Sunil Hanumanthappa,1,5,bengaluru-bulls,2
Ehsan Zamani Fard,1,8,dabang-delhi-kc,2
Simon Kibura,1,9,bengal-warriors,2
Tushar Balaram Bhoir,1,10,dabang-delhi-kc,2
Rakshith,1,17,telugu-titans,2
Arjun Deshwal,1,19,u-mumba,2
Rajnish,1,14,telugu-titans,2
Gurdeep,1,2,up-yoddha,2
Babu M,1,2,haryana-steelers,2
Elangeshwaran R,1,5,telugu-titans,2
M. Thivakaran,1,9,tamil-thalaivas,2
Lokesh Kaushik,1,7,jaipur-pink-panthers,2
Prateek,1,6,haryana-steelers,2
Kuldeep,1,5,bengal-warriors,2
Sushil Vijay Bhosle,1,2,bengal-warriors,2
Shashank Wankhede,1,5,bengal-warriors,2
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,2
Amit Kumar Tomar,1,9,dabang-delhi-kc,2
Ravinder,1,5,patna-pirates,2
Azad Singh,1,13,up-yoddha,2
Mohit Balyan,1,1,u-mumba,1
Ankush,1,3,up-yoddha,1
Ankit Beniwal,1,7,telugu-titans,1
Armaan,1,10,telugu-titans,1
Vikram Kandola,1,3,haryana-steelers,1
Aman Kadian,1,4,dabang-delhi-kc,1
Sushil Gulia,1,7,jaipur-pink-panthers,1
Aman,1,2,bengaluru-bulls,1
Himanshu,1,3,tamil-thalaivas,1
Sachin Narwal,1,12,jaipur-pink-panthers,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Satywan,1,1,dabang-delhi-kc,1
Aashish Nagar,1,3,up-yoddha,1
Sumit,1,2,dabang-delhi-kc,1
Amit Kumar,1,6,puneri-paltan,1
Naveen Narwal,1,3,bengal-warriors,1
Gnanasekaran M,1,8,dabang-delhi-kc,1
Ravinandan G.M.,1,1,dabang-delhi-kc,1
Navjot Singh,1,1,dabang-delhi-kc,1
Nirbhay Narwal,1,2,bengaluru-bulls,1
Hardeep Duhan,1,1,bengaluru-bulls,1
Sanju,1,4,dabang-delhi-kc,1
Virender Wazir Singh,1,7,bengal-warriors,1
Ajay Kumar,1,50,gujarat-fortunegiants,1
Mohammad Taghi Paein Mahali,1,3,bengal-warriors,1
Vishnu Uthaman,1,3,patna-pirates,1
Athul MS,1,38,u-mumba,1
Ajay Singh,1,1,bengaluru-bulls,1
Sanoj Kumar,1,2,up-yoddha,1
Anand Surendra Tomar,1,5,haryana-steelers,1
Ajvender Singh,1,2,up-yoddha,1
N. Shiva Ramakrishna,1,1,jaipur-pink-panthers,1
Rohit Kumar,1,7,up-yoddha,1
R. Sriram,1,15,puneri-paltan,1
Rahul Choudhary,1,5,jaipur-pink-panthers,1
Victor Onyango Obiero,1,6,tamil-thalaivas,1
Farhad Kamal Gharibi,1,2,bengal-warriors,1
Takamitsu Kono,1,1,puneri-paltan,1
Sinotharan Kanesharajah,1,3,bengaluru-bulls,1
Atif Waheed,1,3,telugu-titans,1
Wajid Ali,1,4,telugu-titans,1
Nithesh B R,1,2,bengaluru-bulls,1
Suraj Desai,1,12,telugu-titans,1
Sandeep Malik,1,1,puneri-paltan,1
Mohammad Maghshoudulu,1,18,patna-pirates,1
Adinath Sakharam Gavali,1,1,u-mumba,1
Sanjay Kumar,1,8,patna-pirates,1
Ravit Kumar,1,3,telugu-titans,1
Hyunil Park,1,2,telugu-titans,1
Jishnu,1,3,telugu-titans,1
Amit Kumar,1,1,puneri-paltan,1
Sunil Subhash Lande,1,4,puneri-paltan,1
Rohit Kumar Prajapat,1,3,jaipur-pink-panthers,1
Kedar Lal,1,10,bengal-warriors,1
Pradeep Kumar,1,10,u-mumba,1
Mangesh Bhagat,1,8,puneri-paltan,1
