player_name,season,matches_played,team,total-points
Pardeep Narwal,1,16,patna-pirates,121
Rishank Devadiga,1,16,u-mumba,115
Rohit Kumar,1,12,patna-pirates,109
Manjeet Chhillar,1,15,puneri-paltan,106
Rahul Chaudhari,1,13,telugu-titans,99
Jang Kun Lee,1,15,bengal-warriors,90
Nitin Tomar,1,10,bengal-warriors,81
Rajesh Narwal,1,14,jaipur-pink-panthers,80
Anup Kumar,1,13,u-mumba,79
Kashiling Adake,1,11,dabang-delhi-kc,78
Deepak Niwas Hooda,1,12,puneri-paltan,76
CPO Surjeet Singh,1,12,dabang-delhi-kc,68
Sukesh Hegde,1,13,telugu-titans,64
Sandeep Narwal,1,14,patna-pirates,64
Ajay Thakur,1,14,puneri-paltan,56
Rohit Baliyan,1,11,telugu-titans,56
Sonu Narwal,1,11,jaipur-pink-panthers,55
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,53
Rakesh Kumar,1,15,u-mumba,51
PO Surjeet Singh,1,12,puneri-paltan,49
Meraj Sheykh,1,14,telugu-titans,48
Jasmer Singh Gulia,1,16,puneri-paltan,46
Mohit Chhillar,1,13,u-mumba,46
Surender Singh,1,12,puneri-paltan,45
Surjeet Narwal,1,12,bengaluru-bulls,43
Ran Singh,1,14,jaipur-pink-panthers,41
Selvamani K,1,8,dabang-delhi-kc,39
Bajirao Hodage,1,16,bengal-warriors,37
Deepak Kumar Dahiya,1,10,bengaluru-bulls,37
Dharmaraj Cheralathan,1,14,telugu-titans,37
Nilesh Shinde,1,16,bengal-warriors,36
Amit Om Prakash Rathi,1,8,bengaluru-bulls,36
Mahesh Goud,1,13,bengal-warriors,34
Girish Maruti Ernak,1,11,bengal-warriors,34
Ravinder Pahal,1,11,dabang-delhi-kc,34
Shrikant Tewthia,1,13,bengaluru-bulls,33
Deepak Narwal,1,9,patna-pirates,33
Fazel Atrachali,1,11,u-mumba,33
Sandeep Kumar Dhull,1,10,dabang-delhi-kc,32
Ashish Kumar,1,13,bengaluru-bulls,32
Jeeva Kumar,1,16,u-mumba,31
Sunil,1,15,patna-pirates,30
Manpreet Singh,1,13,patna-pirates,29
Rajesh Mondal,1,9,patna-pirates,28
Mahendra Ganesh Rajput,1,8,bengal-warriors,26
Jasvir Singh,1,4,jaipur-pink-panthers,25
Somvir,1,14,bengaluru-bulls,22
Tushar Patil,1,13,puneri-paltan,22
Kuldeep Singh,1,10,jaipur-pink-panthers,21
Anil Kumar,1,11,dabang-delhi-kc,21
Umesh Mhatre,1,6,bengal-warriors,19
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,19
Hadi Oshtorak,1,10,patna-pirates,18
Rohit Rana,1,12,jaipur-pink-panthers,18
D. Suresh Kumar,1,12,patna-pirates,18
C. Arun,1,11,jaipur-pink-panthers,18
Manoj Kumar,1,11,telugu-titans,17
Deepak Kumar Rathee,1,14,bengaluru-bulls,17
Vinod Kumar,1,9,patna-pirates,16
Rohit Kumar Choudary,1,7,dabang-delhi-kc,16
Vinoth Kumar,1,7,bengaluru-bulls,16
Vishal Mane,1,13,u-mumba,16
Surender Nada,1,7,u-mumba,14
Mohammad Maghshoudulu,1,10,jaipur-pink-panthers,14
Preetam Chhillar,1,11,bengaluru-bulls,14
Rahul Kumar,1,11,telugu-titans,14
Mahipal Narwal,1,4,patna-pirates,13
Shabeer Bappu,1,10,u-mumba,13
Bhupender Singh,1,11,u-mumba,12
Vikas Kale,1,9,telugu-titans,12
Prashanth Kumar Rai,1,13,telugu-titans,12
Shyam Kumar Sah,1,7,bengal-warriors,12
Amit Hooda,1,4,patna-pirates,11
Nilesh Salunke,1,7,puneri-paltan,10
Gangadhari Mallesh,1,10,jaipur-pink-panthers,10
Shrikant Jadhav,1,5,bengal-warriors,10
Vineet Sharma,1,4,bengal-warriors,9
Ravi Kumar,1,12,puneri-paltan,9
Yogesh Hooda,1,6,puneri-paltan,8
Anil Kashinath Patil,1,5,jaipur-pink-panthers,8
Samarjeet Singh,1,5,jaipur-pink-panthers,8
Gnanasekaran M,1,8,dabang-delhi-kc,7
Virender Wazir Singh,1,4,telugu-titans,7
Sachin Shingade,1,2,puneri-paltan,6
Pawan Kumar Kadian,1,5,u-mumba,6
Rajaguru Subramanian,1,7,dabang-delhi-kc,6
Gurvinder Singh,1,5,patna-pirates,6
Amit Singh Chhillar,1,5,dabang-delhi-kc,5
Seong Ryeol Kim,1,8,dabang-delhi-kc,5
Nitin More,1,10,bengal-warriors,5
Jagdeesha K.K.,1,7,jaipur-pink-panthers,5
Navneet Gautam,1,7,jaipur-pink-panthers,4
Sunil Jaipal,1,2,patna-pirates,4
Deepak Kumar,1,3,bengal-warriors,4
Rakesh Singh Kumar,1,8,dabang-delhi-kc,3
Prashant Chavan,1,6,puneri-paltan,3
Kuldeep Singh,1,1,dabang-delhi-kc,3
Sandeep,1,3,patna-pirates,3
Sushil Vijay Bhosle,1,2,dabang-delhi-kc,2
Darshan Kadian,1,2,patna-pirates,2
Nirbhay Narwal,1,2,bengaluru-bulls,2
Jay Bahadur Bohara,1,1,dabang-delhi-kc,2
Vinoth Paulyas,1,3,u-mumba,2
K. Prapanjan,1,4,u-mumba,2
Simon Kibura,1,2,puneri-paltan,2
Parmod Narwal,1,4,bengaluru-bulls,2
Vijin Thangadurai,1,4,bengal-warriors,2
Suresu Kumar,1,3,u-mumba,2
Deepak Dhull,1,1,bengal-warriors,1
Rohit Kumar Prajapat,1,3,jaipur-pink-panthers,1
D. Gopu,1,2,telugu-titans,1
Tae Deok Eom,1,7,patna-pirates,1
Pravin Niwale,1,2,dabang-delhi-kc,1
Raju Lal Choudhary,1,1,jaipur-pink-panthers,1
G.S. Manikandan,1,7,dabang-delhi-kc,1
T. Prasad,1,3,telugu-titans,1
Isac Antony,1,2,telugu-titans,1
Navjot Singh,1,1,dabang-delhi-kc,1
Hardeep Duhan,1,1,bengaluru-bulls,1
Parvesh Attri,1,1,bengaluru-bulls,1
Ravinandan G.M.,1,1,dabang-delhi-kc,1
Sanju,1,4,telugu-titans,1
